id,article_id,question,qa_type,answerable,question_words,question_chars,answer_words,num_source_articles
211640_1,211640,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,factoid,True,21,97,35,1
211640_2,211640,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,event_summary,True,21,92,66,1
211640_3,211640,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,cause_effect,True,16,70,57,1
211640_4,211640,Hàm lượng purin trong cá nhỏ và nội tạng động vật khác biệt ra sao so với thịt đỏ thông thường?,comparison,True,21,95,46,1
211640_5,211640,Đúng hay sai: 'Chỉ cần bỏ thịt dê và chuyển sang ăn hải sản là có thể kiểm soát tốt axit uric'?,claim_verification,True,22,95,72,1
152685_1,152685,Doanh nghiệp nào trúng đấu giá thuê khu đất ven sông Hương tại TP. Huế?,factoid,True,15,71,17,1
152685_2,152685,Cuộc đấu giá cho thuê khu đất số 5 Lê Lợi ven sông Hương diễn ra với kết quả như thế nào?,event_summary,True,22,89,83,1
152685_3,152685,Vì sao dư luận bất ngờ khi biết danh tính doanh nghiệp trúng đấu giá khu đất ven sông Hương?,cause_effect,True,20,92,51,1
152685_4,152685,Khu đất số 5 Lê Lợi được đưa ra đấu giá nhằm phục vụ mục tiêu gì cho TP. Huế?,entity_role,True,20,77,50,1
152685_5,152685,Công ty An Phú Minh có kế hoạch cụ thể gì để phát triển khu đất ven sông Hương sau khi trúng đấu giá?,unanswerable,False,24,101,0,1
132354_1,132354,Ông Nghiêm Xuân Thành đến kiểm tra công tác ứng phó bão Kalmaegi tại những địa điểm nào ở Khánh Hòa?,factoid,True,21,100,53,1
132354_2,132354,Công tác chuẩn bị ứng phó bão Kalmaegi tại Khánh Hòa được triển khai như thế nào?,event_summary,True,17,81,110,1
132354_3,132354,Vì sao Bí thư Tỉnh ủy Khánh Hòa lo ngại người dân có thể chủ quan trước bão Kalmaegi?,cause_effect,True,19,85,51,1
132354_4,132354,Lực lượng biên phòng đóng vai trò gì trong công tác ứng phó bão Kalmaegi tại Khánh Hòa?,entity_role,True,18,87,59,1
132354_5,132354,Bão Kalmaegi gây ra thiệt hại cụ thể như thế nào tại Khánh Hòa?,unanswerable,False,14,63,0,1
50356_1,50356,Mazda đã đăng ký bản quyền tên gọi Mazda 3e tại những thị trường nào?,factoid,True,15,69,19,1
