id,qa_type,question,question_words,question_chars,answer_words,num_source_articles,answerable,missing_source_id,keyword_who,keyword_when,keyword_where,keyword_how_many,keyword_why,keyword_what
211640_1,factoid,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,21,97,35,1,True,False,False,False,False,False,False,False
211640_2,event_summary,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,21,92,66,1,True,False,False,False,False,False,False,False
211640_3,cause_effect,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,16,70,57,1,True,False,False,False,False,False,True,False
211640_4,comparison,Hàm lượng purin trong cá nhỏ và nội tạng động vật khác biệt ra sao so với thịt đỏ thông thường?,21,95,46,1,True,False,False,False,False,False,False,False
211640_5,claim_verification,Đúng hay sai: 'Chỉ cần bỏ thịt dê và chuyển sang ăn hải sản là có thể kiểm soát tốt axit uric'?,22,95,72,1,True,False,False,False,False,False,False,False
152685_1,factoid,Doanh nghiệp nào trúng đấu giá thuê khu đất ven sông Hương tại TP. Huế?,15,71,17,1,True,False,False,False,False,False,False,False
152685_2,event_summary,Cuộc đấu giá cho thuê khu đất số 5 Lê Lợi ven sông Hương diễn ra với kết quả như thế nào?,22,89,83,1,True,False,False,False,False,False,False,False
152685_3,cause_effect,Vì sao dư luận bất ngờ khi biết danh tính doanh nghiệp trúng đấu giá khu đất ven sông Hương?,20,92,51,1,True,False,False,False,False,False,True,False
152685_4,entity_role,Khu đất số 5 Lê Lợi được đưa ra đấu giá nhằm phục vụ mục tiêu gì cho TP. Huế?,20,77,50,1,True,False,False,False,False,False,False,False
152685_5,unanswerable,Công ty An Phú Minh có kế hoạch cụ thể gì để phát triển khu đất ven sông Hương sau khi trúng đấu giá?,24,101,0,1,False,False,False,False,False,False,False,False
132354_1,factoid,Ông Nghiêm Xuân Thành đến kiểm tra công tác ứng phó bão Kalmaegi tại những địa điểm nào ở Khánh Hòa?,21,100,53,1,True,False,False,False,False,False,False,False
132354_2,event_summary,Công tác chuẩn bị ứng phó bão Kalmaegi tại Khánh Hòa được triển khai như thế nào?,17,81,110,1,True,False,False,False,False,False,False,False
132354_3,cause_effect,Vì sao Bí thư Tỉnh ủy Khánh Hòa lo ngại người dân có thể chủ quan trước bão Kalmaegi?,19,85,51,1,True,False,False,False,False,False,True,False
132354_4,entity_role,Lực lượng biên phòng đóng vai trò gì trong công tác ứng phó bão Kalmaegi tại Khánh Hòa?,18,87,59,1,True,False,False,False,False,False,False,False
132354_5,unanswerable,Bão Kalmaegi gây ra thiệt hại cụ thể như thế nào tại Khánh Hòa?,14,63,0,1,False,False,False,False,False,False,False,False
