qa_id,method,question,article_id,is_possible,source_article_ids,latency_ms,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10,relevant_article_ids,retrieved_article_ids,retrieved_chunk_ids
211640_1,bm25,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,True,"[""211640""]",8068.1106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""31222"", ""205401"", ""28856"", ""212002"", ""31108"", ""34624"", ""28348"", ""206710"", ""29758"", ""207094"", ""27606"", ""203132"", ""211636"", ""31850"", ""208214"", ""216030"", ""29175"", ""34489"", ""29021"", ""212000"", ""211823"", ""27887"", ""212113"", ""30398"", ""115786"", ""209834"", ""207679"", ""255080"", ""117409"", ""206779"", ""213715"", ""46327"", ""212841""]","[""211640_token_0000"", ""31222_token_0002"", ""211640_token_0001"", ""205401_token_0000"", ""28856_token_0000"", ""31222_token_0001"", ""212002_token_0001"", ""31108_token_0002"", ""31108_token_0001"", ""34624_token_0001"", ""28348_token_0001"", ""206710_token_0000"", ""28348_token_0002"", ""29758_token_0002"", ""205401_token_0001"", ""207094_token_0001"", ""27606_token_0002"", ""203132_token_0002"", ""27606_token_0001"", ""211636_token_0001"", ""31850_token_0002"", ""208214_token_0000"", ""216030_token_0000"", ""29758_token_0001"", ""29175_token_0001"", ""34489_token_0000"", ""31108_token_0003"", ""29021_token_0001"", ""212000_token_0001"", ""211823_token_0001"", ""27887_token_0002"", ""34624_token_0002"", ""211823_token_0000"", ""34624_token_0000"", ""212113_token_0001"", ""28856_token_0001"", ""30398_token_0001"", ""115786_token_0002"", ""209834_token_0000"", ""207679_token_0000"", ""255080_token_0002"", ""31108_token_0000"", ""115786_token_0003"", ""117409_token_0000"", ""206779_token_0000"", ""213715_token_0000"", ""46327_token_0002"", ""27606_token_0000"", ""206710_token_0001"", ""212841_token_0000""]"
211640_1,dense,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,True,"[""211640""]",15865.7161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""205401"", ""28856"", ""28348"", ""27606"", ""30177"", ""27887"", ""28276"", ""212113"", ""212000"", ""206539"", ""206769"", ""29758"", ""26527"", ""212002"", ""100253"", ""212118"", ""213430"", ""114265"", ""28878"", ""207751"", ""30970"", ""41024"", ""30705"", ""237888"", ""206710"", ""211884"", ""31850"", ""213664"", ""212311"", ""200586"", ""213206"", ""31661"", ""205342"", ""27573""]","[""211640_token_0000"", ""211640_token_0001"", ""205401_token_0001"", ""205401_token_0000"", ""28856_token_0000"", ""205401_token_0002"", ""28348_token_0001"", ""27606_token_0000"", ""30177_token_0000"", ""28856_token_0001"", ""27887_token_0000"", ""30177_token_0001"", ""28276_token_0000"", ""212113_token_0000"", ""27887_token_0002"", ""28276_token_0001"", ""212000_token_0001"", ""27606_token_0002"", ""206539_token_0001"", ""206769_token_0001"", ""29758_token_0003"", ""26527_token_0001"", ""212002_token_0001"", ""28348_token_0002"", ""27887_token_0001"", ""100253_token_0003"", ""212118_token_0000"", ""213430_token_0001"", ""114265_token_0000"", ""28878_token_0002"", ""207751_token_0000"", ""30970_token_0001"", ""212000_token_0000"", ""41024_token_0000"", ""30705_token_0001"", ""237888_token_0000"", ""206710_token_0000"", ""211884_token_0001"", ""31850_token_0002"", ""41024_token_0001"", ""213664_token_0000"", ""212311_token_0000"", ""200586_token_0000"", ""213206_token_0001"", ""31661_token_0001"", ""205342_token_0000"", ""31850_token_0000"", ""27606_token_0001"", ""27573_token_0001"", ""28276_token_0002""]"
211640_1,hybrid,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,True,"[""211640""]",6622.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""205401"", ""28856"", ""28348"", ""212002"", ""27606"", ""27887"", ""212000"", ""206710"", ""31850"", ""31222"", ""31108"", ""30177"", ""34624"", ""28276"", ""212113"", ""29758"", ""207094"", ""203132"", ""206539"", ""206769"", ""211636"", ""208214"", ""26527"", ""216030"", ""29175"", ""100253"", ""34489"", ""212118"", ""213430"", ""29021"", ""114265"", ""211823"", ""28878""]","[""211640_token_0000"", ""211640_token_0001"", ""205401_token_0000"", ""28856_token_0000"", ""205401_token_0001"", ""28348_token_0001"", ""212002_token_0001"", ""27606_token_0002"", ""28348_token_0002"", ""28856_token_0001"", ""27887_token_0002"", ""212000_token_0001"", ""206710_token_0000"", ""27606_token_0000"", ""31850_token_0002"", ""27606_token_0001"", ""31222_token_0002"", ""205401_token_0002"", ""31222_token_0001"", ""31108_token_0002"", ""30177_token_0000"", ""31108_token_0001"", ""34624_token_0001"", ""27887_token_0000"", ""30177_token_0001"", ""28276_token_0000"", ""212113_token_0000"", ""29758_token_0002"", ""207094_token_0001"", ""28276_token_0001"", ""203132_token_0002"", ""206539_token_0001"", ""206769_token_0001"", ""211636_token_0001"", ""29758_token_0003"", ""208214_token_0000"", ""26527_token_0001"", ""216030_token_0000"", ""29758_token_0001"", ""27887_token_0001"", ""29175_token_0001"", ""100253_token_0003"", ""34489_token_0000"", ""212118_token_0000"", ""31108_token_0003"", ""213430_token_0001"", ""29021_token_0001"", ""114265_token_0000"", ""211823_token_0001"", ""28878_token_0002""]"
211640_2,bm25,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,True,"[""211640""]",177.1325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""155705"", ""177219"", ""27606"", ""71468"", ""102567"", ""210159"", ""27454"", ""31661"", ""98585"", ""212113"", ""65739"", ""65764"", ""210597"", ""116180"", ""31222"", ""205100"", ""43524"", ""29648"", ""81528"", ""14867"", ""28844"", ""211884"", ""28587"", ""215956"", ""27887"", ""164773"", ""179767"", ""77373"", ""29406"", ""160043"", ""33761"", ""7950"", ""257290"", ""11741"", ""216138"", ""75382"", ""6171"", ""27567"", ""105167""]","[""211640_token_0000"", ""211640_token_0001"", ""155705_token_0000"", ""155705_token_0001"", ""177219_token_0000"", ""27606_token_0000"", ""71468_token_0000"", ""102567_token_0004"", ""210159_token_0000"", ""27454_token_0000"", ""31661_token_0000"", ""98585_token_0000"", ""212113_token_0001"", ""65739_token_0003"", ""65764_token_0000"", ""210597_token_0003"", ""116180_token_0001"", ""31222_token_0001"", ""65739_token_0002"", ""205100_token_0001"", ""65764_token_0001"", ""43524_token_0003"", ""29648_token_0001"", ""81528_token_0000"", ""14867_token_0001"", ""28844_token_0000"", ""211884_token_0000"", ""28587_token_0000"", ""215956_token_0001"", ""27606_token_0002"", ""65739_token_0000"", ""27887_token_0002"", ""215956_token_0000"", ""164773_token_0001"", ""179767_token_0002"", ""43524_token_0000"", ""77373_token_0000"", ""29406_token_0000"", ""160043_token_0001"", ""43524_token_0002"", ""33761_token_0000"", ""160043_token_0000"", ""7950_token_0002"", ""257290_token_0000"", ""11741_token_0000"", ""216138_token_0001"", ""75382_token_0001"", ""6171_token_0000"", ""27567_token_0001"", ""105167_token_0000""]"
211640_2,dense,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,True,"[""211640""]",6270.9803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""212311"", ""212000"", ""100253"", ""212113"", ""213415"", ""27606"", ""206769"", ""28348"", ""30970"", ""29406"", ""28587"", ""43755"", ""28878"", ""31990"", ""27573"", ""206710"", ""28856"", ""27454"", ""212921"", ""105167"", ""213206"", ""30901"", ""19882"", ""210597"", ""96976"", ""205401"", ""115249"", ""117438"", ""27908"", ""261818"", ""211588"", ""28670"", ""30177"", ""18345"", ""212777""]","[""211640_token_0000"", ""211640_token_0001"", ""212311_token_0000"", ""212000_token_0001"", ""100253_token_0003"", ""212113_token_0000"", ""212000_token_0000"", ""213415_token_0000"", ""27606_token_0000"", ""206769_token_0001"", ""28348_token_0001"", ""30970_token_0001"", ""29406_token_0000"", ""28587_token_0000"", ""43755_token_0003"", ""28878_token_0001"", ""28587_token_0001"", ""27606_token_0002"", ""28878_token_0002"", ""27606_token_0001"", ""43755_token_0002"", ""31990_token_0000"", ""27573_token_0001"", ""206710_token_0000"", ""212311_token_0001"", ""28856_token_0000"", ""27454_token_0001"", ""212921_token_0000"", ""28878_token_0000"", ""105167_token_0003"", ""213206_token_0001"", ""43755_token_0000"", ""43755_token_0001"", ""30901_token_0000"", ""19882_token_0000"", ""210597_token_0003"", ""212113_token_0001"", ""96976_token_0002"", ""205401_token_0001"", ""115249_token_0001"", ""117438_token_0002"", ""27908_token_0000"", ""29406_token_0003"", ""261818_token_0000"", ""211588_token_0000"", ""28670_token_0001"", ""213415_token_0001"", ""30177_token_0000"", ""18345_token_0000"", ""212777_token_0000""]"
211640_2,hybrid,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,True,"[""211640""]",6421.932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""27606"", ""28587"", ""212113"", ""29406"", ""210597"", ""155705"", ""212311"", ""212000"", ""100253"", ""177219"", ""71468"", ""102567"", ""213415"", ""210159"", ""206769"", ""27454"", ""28348"", ""31661"", ""30970"", ""98585"", ""65739"", ""43755"", ""65764"", ""28878"", ""116180"", ""31222"", ""205100"", ""31990"", ""43524"", ""27573"", ""29648"", ""206710"", ""81528"", ""14867"", ""28844"", ""28856"", ""211884""]","[""211640_token_0000"", ""211640_token_0001"", ""27606_token_0000"", ""28587_token_0000"", ""212113_token_0001"", ""27606_token_0002"", ""29406_token_0000"", ""210597_token_0003"", ""155705_token_0000"", ""212311_token_0000"", ""155705_token_0001"", ""212000_token_0001"", ""100253_token_0003"", ""177219_token_0000"", ""212113_token_0000"", ""212000_token_0000"", ""71468_token_0000"", ""102567_token_0004"", ""213415_token_0000"", ""210159_token_0000"", ""206769_token_0001"", ""27454_token_0000"", ""28348_token_0001"", ""31661_token_0000"", ""30970_token_0001"", ""98585_token_0000"", ""65739_token_0003"", ""43755_token_0003"", ""65764_token_0000"", ""28878_token_0001"", ""116180_token_0001"", ""28587_token_0001"", ""31222_token_0001"", ""28878_token_0002"", ""65739_token_0002"", ""205100_token_0001"", ""27606_token_0001"", ""43755_token_0002"", ""65764_token_0001"", ""31990_token_0000"", ""43524_token_0003"", ""27573_token_0001"", ""29648_token_0001"", ""206710_token_0000"", ""81528_token_0000"", ""14867_token_0001"", ""212311_token_0001"", ""28844_token_0000"", ""28856_token_0000"", ""211884_token_0000""]"
211640_3,bm25,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,True,"[""211640""]",156.8747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""212002"", ""211823"", ""207094"", ""261904"", ""213477"", ""212841"", ""212000"", ""209766"", ""212468"", ""261551"", ""27606"", ""155184"", ""155494"", ""27887"", ""213715"", ""28856"", ""76465"", ""261685"", ""212113"", ""31990"", ""29758"", ""205401"", ""27057"", ""199675"", ""29406"", ""117558"", ""16896"", ""31850"", ""251924"", ""29175"", ""42779"", ""212798"", ""156012"", ""213664""]","[""211640_token_0000"", ""211640_token_0001"", ""212002_token_0000"", ""212002_token_0001"", ""211823_token_0000"", ""207094_token_0000"", ""261904_token_0000"", ""213477_token_0000"", ""212841_token_0000"", ""212000_token_0001"", ""209766_token_0001"", ""212468_token_0000"", ""261551_token_0000"", ""27606_token_0001"", ""155184_token_0001"", ""155494_token_0000"", ""27887_token_0002"", ""27887_token_0003"", ""155184_token_0000"", ""261551_token_0001"", ""27887_token_0000"", ""213715_token_0000"", ""28856_token_0001"", ""76465_token_0000"", ""27606_token_0000"", ""261685_token_0000"", ""212113_token_0000"", ""213477_token_0001"", ""31990_token_0000"", ""29758_token_0000"", ""207094_token_0001"", ""205401_token_0000"", ""27057_token_0001"", ""199675_token_0000"", ""29406_token_0002"", ""261685_token_0001"", ""117558_token_0000"", ""16896_token_0002"", ""212468_token_0001"", ""27057_token_0000"", ""31850_token_0001"", ""29758_token_0001"", ""251924_token_0000"", ""29175_token_0001"", ""42779_token_0004"", ""27887_token_0001"", ""212798_token_0001"", ""156012_token_0001"", ""28856_token_0000"", ""213664_token_0000""]"
211640_3,dense,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,True,"[""211640""]",6314.8532,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,"[""211640""]","[""212002"", ""211640"", ""213477"", ""212000"", ""28856"", ""207094"", ""29383"", ""31990"", ""31222"", ""31850"", ""29406"", ""210207"", ""212841"", ""29021"", ""213664"", ""205401"", ""27887"", ""212422"", ""155184"", ""212113"", ""213715"", ""213079"", ""212311"", ""28348"", ""27606"", ""208036"", ""210261"", ""206732"", ""208054"", ""100253"", ""30177"", ""211565""]","[""212002_token_0001"", ""211640_token_0000"", ""212002_token_0000"", ""213477_token_0001"", ""213477_token_0000"", ""211640_token_0001"", ""212000_token_0001"", ""28856_token_0000"", ""207094_token_0000"", ""207094_token_0001"", ""29383_token_0000"", ""31990_token_0000"", ""31222_token_0001"", ""31850_token_0002"", ""29406_token_0001"", ""31850_token_0000"", ""29383_token_0001"", ""210207_token_0001"", ""212841_token_0000"", ""29021_token_0000"", ""213664_token_0000"", ""28856_token_0001"", ""205401_token_0001"", ""27887_token_0003"", ""212422_token_0000"", ""31222_token_0002"", ""27887_token_0000"", ""29406_token_0000"", ""155184_token_0001"", ""212113_token_0000"", ""213715_token_0001"", ""27887_token_0001"", ""213079_token_0001"", ""212311_token_0000"", ""28348_token_0001"", ""27606_token_0001"", ""208036_token_0000"", ""210261_token_0000"", ""27887_token_0002"", ""213715_token_0000"", ""206732_token_0000"", ""208054_token_0000"", ""31850_token_0001"", ""212113_token_0001"", ""29383_token_0002"", ""100253_token_0003"", ""31222_token_0000"", ""27606_token_0002"", ""30177_token_0000"", ""211565_token_0000""]"
211640_3,hybrid,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,True,"[""211640""]",6430.1965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""212002"", ""213477"", ""207094"", ""212000"", ""212841"", ""31990"", ""27887"", ""155184"", ""28856"", ""27606"", ""212113"", ""213715"", ""213664"", ""31850"", ""211823"", ""261904"", ""209766"", ""29383"", ""212468"", ""261551"", ""31222"", ""29406"", ""155494"", ""210207"", ""29021"", ""205401"", ""76465"", ""212422"", ""261685"", ""29758"", ""213079""]","[""211640_token_0000"", ""212002_token_0001"", ""212002_token_0000"", ""211640_token_0001"", ""213477_token_0000"", ""207094_token_0000"", ""212000_token_0001"", ""212841_token_0000"", ""213477_token_0001"", ""207094_token_0001"", ""31990_token_0000"", ""27887_token_0003"", ""155184_token_0001"", ""28856_token_0001"", ""27606_token_0001"", ""28856_token_0000"", ""27887_token_0000"", ""27887_token_0002"", ""212113_token_0000"", ""213715_token_0000"", ""213664_token_0000"", ""27887_token_0001"", ""31850_token_0001"", ""211823_token_0000"", ""261904_token_0000"", ""209766_token_0001"", ""29383_token_0000"", ""212468_token_0000"", ""261551_token_0000"", ""31222_token_0001"", ""31850_token_0002"", ""29406_token_0001"", ""155494_token_0000"", ""31850_token_0000"", ""29383_token_0001"", ""210207_token_0001"", ""155184_token_0000"", ""261551_token_0001"", ""29021_token_0000"", ""205401_token_0001"", ""76465_token_0000"", ""212422_token_0000"", ""27606_token_0000"", ""261685_token_0000"", ""31222_token_0002"", ""29406_token_0000"", ""29758_token_0000"", ""213715_token_0001"", ""205401_token_0000"", ""213079_token_0001""]"
211640_4,bm25,Hàm lượng purin trong cá nhỏ và nội tạng động vật khác biệt ra sao so với thịt đỏ thông thường?,211640,True,"[""211640""]",172.1417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""211640""]","[""211640"", ""212311"", ""212000"", ""67949"", ""215378"", ""28344"", ""28348"", ""30810"", ""200586"", ""212113"", ""28856"", ""31990"", ""205401"", ""206539"", ""26527"", ""260099"", ""156019"", ""212336"", ""117733"", ""261685"", ""31776"", ""31222"", ""212118"", ""201810"", ""65739"", ""215649"", ""28587"", ""68365"", ""71468"", ""261680"", ""261818"", ""68639"", ""33500"", ""65896"", ""212798"", ""27573"", ""155523"", ""34624"", ""155703"", ""116385"", ""212002"", ""67864"", ""116630"", ""28276""]","[""211640_token_0000"", ""211640_token_0001"", ""212311_token_0000"", ""212000_token_0000"", ""67949_token_0000"", ""215378_token_0001"", ""28344_token_0001"", ""28348_token_0001"", ""30810_token_0000"", ""200586_token_0001"", ""212113_token_0000"", ""212000_token_0001"", ""28856_token_0000"", ""31990_token_0000"", ""205401_token_0000"", ""206539_token_0001"", ""26527_token_0001"", ""260099_token_0004"", ""156019_token_0000"", ""212336_token_0000"", ""117733_token_0000"", ""261685_token_0000"", ""31776_token_0002"", ""212113_token_0001"", ""31222_token_0002"", ""212118_token_0000"", ""156019_token_0001"", ""201810_token_0001"", ""65739_token_0003"", ""215649_token_0000"", ""28587_token_0001"", ""68365_token_0000"", ""71468_token_0000"", ""261680_token_0000"", ""261680_token_0001"", ""261818_token_0000"", ""68639_token_0000"", ""33500_token_0000"", ""65896_token_0000"", ""212798_token_0000"", ""27573_token_0002"", ""155523_token_0000"", ""34624_token_0000"", ""155703_token_0000"", ""116385_token_0000"", ""212002_token_0001"", ""65896_token_0001"", ""67864_token_0000"", ""116630_token_0002"", ""28276_token_0001""]"
