qa_id,method,question,article_id,relevant_chunk_ids,retrieved_chunk_ids,latency_ms,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10
211640_1,bm25,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""31222_structured_0002"", ""31108_structured_0002"", ""205401_structured_0000"", ""28856_structured_0000"", ""31222_structured_0001"", ""31108_structured_0003"", ""28856_structured_0001"", ""212002_structured_0001"", ""28348_structured_0002"", ""205401_structured_0001"", ""28348_structured_0001"", ""31108_structured_0001"", ""203132_structured_0002"", ""34624_structured_0001"", ""206710_structured_0000"", ""34624_structured_0002"", ""205401_structured_0002"", ""211636_structured_0001"", ""207094_structured_0001"", ""27606_structured_0002"", ""27606_structured_0001"", ""31850_structured_0002"", ""27887_structured_0003"", ""117409_structured_0002"", ""208214_structured_0000"", ""216030_structured_0000"", ""29175_structured_0001"", ""34489_structured_0000"", ""46327_structured_0002"", ""29021_structured_0001"", ""211823_structured_0000"", ""34624_structured_0000"", ""211823_structured_0001"", ""207679_structured_0000"", ""29758_structured_0002"", ""212000_structured_0001"", ""212113_structured_0001"", ""115786_structured_0003"", ""30398_structured_0001"", ""209834_structured_0000"", ""27887_structured_0002"", ""206779_structured_0000"", ""212599_structured_0001"", ""212841_structured_0000"", ""29383_structured_0000"", ""29758_structured_0001"", ""255080_structured_0002"", ""30171_structured_0002""]",8041.0993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_1,dense,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""205401_structured_0002"", ""205401_structured_0000"", ""205401_structured_0001"", ""28856_structured_0000"", ""27606_structured_0002"", ""27606_structured_0000"", ""28348_structured_0001"", ""30177_structured_0000"", ""212002_structured_0001"", ""30177_structured_0001"", ""28276_structured_0000"", ""27887_structured_0000"", ""212000_structured_0001"", ""212113_structured_0000"", ""213430_structured_0001"", ""28276_structured_0001"", ""27887_structured_0001"", ""28856_structured_0001"", ""206769_structured_0001"", ""28348_structured_0002"", ""27606_structured_0001"", ""30970_structured_0001"", ""28878_structured_0002"", ""27887_structured_0002"", ""212118_structured_0000"", ""26527_structured_0001"", ""31850_structured_0002"", ""114265_structured_0000"", ""207751_structured_0000"", ""206963_structured_0001"", ""212000_structured_0000"", ""211710_structured_0001"", ""41024_structured_0000"", ""28276_structured_0002"", ""237888_structured_0000"", ""212113_structured_0001"", ""206710_structured_0000"", ""27887_structured_0003"", ""213664_structured_0000"", ""200586_structured_0000"", ""29758_structured_0003"", ""31850_structured_0000"", ""206769_structured_0000"", ""205342_structured_0000"", ""26951_structured_0001"", ""211884_structured_0001"", ""41024_structured_0001"", ""205731_structured_0000""]",27659.4285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_1,hybrid,Những loại nội tạng động vật nào được khuyến cáo nên hạn chế để tránh tăng axit uric và hại thận?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""205401_structured_0000"", ""28856_structured_0000"", ""205401_structured_0001"", ""205401_structured_0002"", ""212002_structured_0001"", ""28348_structured_0001"", ""27606_structured_0002"", ""28856_structured_0001"", ""28348_structured_0002"", ""27606_structured_0001"", ""212000_structured_0001"", ""31850_structured_0002"", ""206710_structured_0000"", ""27887_structured_0003"", ""27887_structured_0002"", ""212113_structured_0001"", ""31222_structured_0002"", ""31108_structured_0002"", ""31222_structured_0001"", ""27606_structured_0000"", ""31108_structured_0003"", ""30177_structured_0000"", ""30177_structured_0001"", ""28276_structured_0000"", ""27887_structured_0000"", ""31108_structured_0001"", ""203132_structured_0002"", ""212113_structured_0000"", ""34624_structured_0001"", ""213430_structured_0001"", ""28276_structured_0001"", ""34624_structured_0002"", ""27887_structured_0001"", ""211636_structured_0001"", ""206769_structured_0001"", ""207094_structured_0001"", ""30970_structured_0001"", ""28878_structured_0002"", ""117409_structured_0002"", ""208214_structured_0000"", ""212118_structured_0000"", ""216030_structured_0000"", ""26527_structured_0001"", ""29175_structured_0001"", ""114265_structured_0000"", ""34489_structured_0000"", ""207751_structured_0000"", ""46327_structured_0002""]",14650.1748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_2,bm25,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""155705_structured_0000"", ""155705_structured_0001"", ""27606_structured_0000"", ""177219_structured_0000"", ""210597_structured_0003"", ""71468_structured_0000"", ""210159_structured_0000"", ""31661_structured_0000"", ""212113_structured_0001"", ""65764_structured_0000"", ""116180_structured_0001"", ""31222_structured_0001"", ""65739_structured_0003"", ""102567_structured_0004"", ""27606_structured_0001"", ""5081_structured_0002"", ""27606_structured_0002"", ""205100_structured_0001"", ""43524_structured_0003"", ""65764_structured_0001"", ""98585_structured_0000"", ""81528_structured_0000"", ""98585_structured_0001"", ""211884_structured_0000"", ""164773_structured_0001"", ""215956_structured_0000"", ""32548_structured_0003"", ""65739_structured_0000"", ""160043_structured_0001"", ""29648_structured_0001"", ""215956_structured_0001"", ""28587_structured_0001"", ""83233_structured_0001"", ""103610_structured_0003"", ""75382_structured_0001"", ""29406_structured_0000"", ""43524_structured_0000"", ""13111_structured_0003"", ""7950_structured_0002"", ""179767_structured_0002"", ""77373_structured_0000"", ""92962_structured_0001"", ""33761_structured_0000"", ""160043_structured_0000"", ""27567_structured_0001"", ""27454_structured_0000"", ""27887_structured_0002"", ""206156_structured_0001""]",223.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_2,dense,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""212311_structured_0000"", ""212000_structured_0001"", ""27606_structured_0002"", ""27606_structured_0000"", ""212000_structured_0000"", ""212113_structured_0000"", ""213415_structured_0000"", ""28348_structured_0001"", ""29406_structured_0000"", ""27606_structured_0001"", ""206769_structured_0001"", ""30970_structured_0001"", ""28587_structured_0000"", ""28587_structured_0001"", ""43755_structured_0003"", ""28878_structured_0001"", ""27454_structured_0001"", ""212113_structured_0001"", ""43755_structured_0004"", ""212311_structured_0001"", ""213066_structured_0001"", ""206566_structured_0001"", ""31990_structured_0000"", ""213206_structured_0001"", ""206710_structured_0000"", ""28856_structured_0000"", ""207739_structured_0001"", ""28878_structured_0000"", ""212921_structured_0000"", ""27573_structured_0001"", ""19882_structured_0000"", ""30901_structured_0000"", ""43755_structured_0001"", ""27573_structured_0002"", ""117438_structured_0004"", ""28670_structured_0001"", ""31150_structured_0002"", ""26527_structured_0001"", ""43755_structured_0000"", ""27908_structured_0000"", ""43755_structured_0002"", ""29406_structured_0001"", ""20703_structured_0002"", ""206769_structured_0000"", ""261818_structured_0000"", ""211588_structured_0000"", ""29406_structured_0003"", ""30177_structured_0000""]",13162.6478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_2,hybrid,Quan niệm cho rằng thịt dê là thủ phạm duy nhất gây tăng axit uric thực chất sai ở điểm nào?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""27606_structured_0000"", ""27606_structured_0002"", ""27606_structured_0001"", ""212113_structured_0001"", ""29406_structured_0000"", ""28587_structured_0001"", ""155705_structured_0000"", ""212311_structured_0000"", ""155705_structured_0001"", ""212000_structured_0001"", ""177219_structured_0000"", ""210597_structured_0003"", ""212000_structured_0000"", ""212113_structured_0000"", ""71468_structured_0000"", ""210159_structured_0000"", ""213415_structured_0000"", ""28348_structured_0001"", ""31661_structured_0000"", ""65764_structured_0000"", ""116180_structured_0001"", ""206769_structured_0001"", ""30970_structured_0001"", ""31222_structured_0001"", ""28587_structured_0000"", ""65739_structured_0003"", ""102567_structured_0004"", ""43755_structured_0003"", ""28878_structured_0001"", ""5081_structured_0002"", ""27454_structured_0001"", ""205100_structured_0001"", ""43524_structured_0003"", ""43755_structured_0004"", ""212311_structured_0001"", ""65764_structured_0001"", ""213066_structured_0001"", ""98585_structured_0000"", ""206566_structured_0001"", ""81528_structured_0000"", ""31990_structured_0000"", ""98585_structured_0001"", ""211884_structured_0000"", ""213206_structured_0001"", ""164773_structured_0001"", ""206710_structured_0000"", ""215956_structured_0000"", ""28856_structured_0000""]",13069.3534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_3,bm25,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""211640_structured_0001"", ""212002_structured_0001"", ""212002_structured_0000"", ""211823_structured_0000"", ""207094_structured_0000"", ""261904_structured_0000"", ""213477_structured_0001"", ""213477_structured_0000"", ""212841_structured_0000"", ""212000_structured_0001"", ""209766_structured_0001"", ""261551_structured_0000"", ""27887_structured_0003"", ""261551_structured_0001"", ""27606_structured_0001"", ""155184_structured_0001"", ""155494_structured_0000"", ""155184_structured_0000"", ""27887_structured_0000"", ""213715_structured_0000"", ""261685_structured_0000"", ""27887_structured_0002"", ""28856_structured_0001"", ""31990_structured_0000"", ""27057_structured_0001"", ""29758_structured_0000"", ""205401_structured_0000"", ""207094_structured_0001"", ""212113_structured_0000"", ""199675_structured_0000"", ""117558_structured_0000"", ""16896_structured_0002"", ""261685_structured_0001"", ""31850_structured_0001"", ""27057_structured_0000"", ""213715_structured_0001"", ""251924_structured_0001"", ""212468_structured_0001"", ""29758_structured_0001"", ""29175_structured_0001"", ""27887_structured_0001"", ""156012_structured_0001"", ""251924_structured_0000"", ""28856_structured_0000"", ""212798_structured_0001"", ""213664_structured_0000"", ""212468_structured_0000"", ""155413_structured_0001"", ""209834_structured_0000""]",196.7002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_3,dense,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,"[""211640_structured_0000""]","[""212002_structured_0001"", ""211640_structured_0000"", ""213477_structured_0001"", ""212002_structured_0000"", ""211640_structured_0001"", ""213477_structured_0000"", ""207094_structured_0000"", ""28856_structured_0000"", ""29383_structured_0000"", ""207094_structured_0001"", ""31990_structured_0000"", ""27606_structured_0002"", ""212000_structured_0001"", ""31850_structured_0000"", ""31222_structured_0001"", ""29383_structured_0001"", ""210207_structured_0001"", ""212841_structured_0000"", ""29406_structured_0001"", ""29021_structured_0000"", ""31850_structured_0003"", ""213664_structured_0000"", ""27887_structured_0001"", ""27887_structured_0003"", ""31850_structured_0002"", ""212113_structured_0001"", ""27887_structured_0000"", ""212422_structured_0000"", ""31850_structured_0001"", ""211710_structured_0001"", ""212113_structured_0000"", ""208036_structured_0000"", ""31222_structured_0002"", ""210261_structured_0000"", ""29383_structured_0002"", ""155184_structured_0001"", ""205401_structured_0001"", ""28856_structured_0001"", ""213715_structured_0000"", ""208054_structured_0000"", ""212311_structured_0000"", ""29406_structured_0000"", ""213066_structured_0001"", ""29406_structured_0002"", ""28357_structured_0001"", ""206732_structured_0000"", ""28276_structured_0001"", ""31222_structured_0000"", ""213715_structured_0001"", ""206963_structured_0001""]",13036.4941,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
211640_3,hybrid,Tại sao nước dùng hầm xương hoặc nước lẩu lại có thể gây hại cho thận?,211640,"[""211640_structured_0000""]","[""211640_structured_0000"", ""212002_structured_0001"", ""211640_structured_0001"", ""212002_structured_0000"", ""213477_structured_0001"", ""207094_structured_0000"", ""213477_structured_0000"", ""212000_structured_0001"", ""212841_structured_0000"", ""31990_structured_0000"", ""207094_structured_0001"", ""27887_structured_0003"", ""28856_structured_0000"", ""27887_structured_0000"", ""155184_structured_0001"", ""213715_structured_0000"", ""28856_structured_0001"", ""212113_structured_0000"", ""27887_structured_0001"", ""31850_structured_0001"", ""213664_structured_0000"", ""213715_structured_0001"", ""211823_structured_0000"", ""261904_structured_0000"", ""29383_structured_0000"", ""209766_structured_0001"", ""27606_structured_0002"", ""261551_structured_0000"", ""31850_structured_0000"", ""261551_structured_0001"", ""31222_structured_0001"", ""27606_structured_0001"", ""29383_structured_0001"", ""210207_structured_0001"", ""155494_structured_0000"", ""155184_structured_0000"", ""29406_structured_0001"", ""29021_structured_0000"", ""31850_structured_0003"", ""261685_structured_0000"", ""27887_structured_0002"", ""31850_structured_0002"", ""212113_structured_0001"", ""27057_structured_0001"", ""29758_structured_0000"", ""205401_structured_0000"", ""212422_structured_0000"", ""211710_structured_0001"", ""199675_structured_0000"", ""117558_structured_0000""]",14748.335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211640_4,bm25,Hàm lượng purin trong cá nhỏ và nội tạng động vật khác biệt ra sao so với thịt đỏ thông thường?,211640,"[""211640_structured_0000"", ""211640_structured_0001""]","[""211640_structured_0000"", ""211640_structured_0001"", ""212000_structured_0000"", ""212311_structured_0000"", ""67949_structured_0000"", ""28344_structured_0001"", ""28348_structured_0001"", ""215378_structured_0001"", ""30810_structured_0000"", ""212000_structured_0001"", ""212113_structured_0000"", ""28856_structured_0000"", ""31990_structured_0000"", ""205401_structured_0000"", ""156019_structured_0000"", ""117733_structured_0000"", ""65896_structured_0001"", ""212336_structured_0000"", ""206539_structured_0001"", ""261685_structured_0000"", ""212113_structured_0001"", ""212118_structured_0000"", ""26527_structured_0001"", ""28276_structured_0001"", ""156019_structured_0001"", ""200586_structured_0001"", ""31222_structured_0002"", ""28587_structured_0001"", ""215649_structured_0000"", ""68365_structured_0000"", ""71468_structured_0000"", ""31776_structured_0003"", ""261680_structured_0000"", ""68639_structured_0000"", ""65739_structured_0003"", ""261818_structured_0000"", ""116586_structured_0001"", ""261680_structured_0001"", ""33500_structured_0000"", ""201810_structured_0001"", ""65896_structured_0000"", ""212798_structured_0000"", ""31108_structured_0001"", ""34624_structured_0000"", ""155523_structured_0000"", ""31776_structured_0002"", ""155703_structured_0000"", ""116630_structured_0002"", ""260099_structured_0004"", ""67864_structured_0000""]",217.9635,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
