id,category,title_chars,description_chars,content_chars,title_tokens,description_tokens,content_tokens,has_title,has_description,has_content,has_mojibake
211640,Sức khỏe,44,144,2727,10,30,585,True,True,True,True
152685,Bất động sản,71,213,1885,14,44,420,True,True,True,False
132354,Thời sự,61,196,2688,14,41,599,True,True,True,False
50356,Xe,78,203,5636,15,44,1227,True,True,True,False
148770,Bất động sản,73,159,1709,18,35,373,True,True,True,False
95886,Giáo dục,64,173,2954,13,37,641,True,True,True,False
106745,Kinh doanh,39,193,7246,8,41,1572,True,True,True,False
90345,Giải trí,57,156,1909,12,35,420,True,True,True,False
225322,Thể thao,64,118,1442,11,27,309,True,True,True,False
114604,Sức khỏe,100,302,4446,20,64,963,True,True,True,False
160104,Giải trí,50,104,2319,11,23,507,True,True,True,False
253647,Xe,75,126,2933,16,27,629,True,True,True,False
64976,Khoa học công nghệ,69,197,2283,14,38,473,True,True,True,False
44651,Thời sự,22,249,3210,4,52,700,True,True,True,False
246182,Thời sự,59,241,5663,13,52,1224,True,True,True,False
157600,Giải trí,63,235,5440,14,52,1210,True,True,True,False
56336,Khoa học công nghệ,33,163,1872,6,34,405,True,True,True,False
5446,Giáo dục,78,127,4567,17,28,984,True,True,True,False
16546,Giải trí,50,112,3201,13,21,689,True,True,True,False
78351,Du lịch,63,155,1962,15,36,433,True,True,True,False
56781,Khoa học công nghệ,54,99,2104,12,22,448,True,True,True,False
190847,Kinh doanh,74,240,4392,15,49,930,True,True,True,False
201070,Kinh doanh,51,139,5544,11,31,1171,True,True,True,False
169911,Giải trí,61,133,1373,14,30,287,True,True,True,False
38171,Thể thao,55,159,2425,13,35,526,True,True,True,False
165454,Giải trí,62,135,1700,15,33,388,True,True,True,False
134838,Thời sự,69,145,901,14,30,204,True,True,True,False
138969,Thời sự,56,156,6357,12,34,1391,True,True,True,False
202551,Kinh doanh,71,247,2136,13,51,444,True,True,True,False
81481,Giải trí,55,137,2967,13,31,656,True,True,True,False
165811,Giải trí,73,111,261,14,24,53,True,True,True,False
98483,Giáo dục,73,189,1797,18,42,389,True,True,True,False
139119,Thời sự,48,238,2925,11,53,644,True,True,True,False
131800,Thời sự,72,219,1255,15,48,279,True,True,True,False
62373,Khoa học công nghệ,50,152,937,11,33,209,True,True,True,False
74345,Đời sống,60,288,5242,13,67,1161,True,True,True,False
248068,Xe,60,127,3482,14,27,768,True,True,True,False
247296,Thời sự,64,184,2666,16,44,585,True,True,True,False
146679,Xe,39,167,2237,10,36,506,True,True,True,False
215554,Thế giới,58,131,1436,14,30,321,True,True,True,False
117335,Sức khỏe,75,332,5138,17,78,1186,True,True,True,False
126018,Thể thao,61,164,3375,12,35,745,True,True,True,False
34123,Thế giới,60,164,3366,15,37,758,True,True,True,False
14857,Giải trí,97,177,5636,19,36,1209,True,True,True,False
192647,Kinh doanh,77,177,3661,16,38,743,True,True,True,False
200506,Kinh doanh,74,144,3189,17,33,716,True,True,True,False
43996,Thời sự,42,197,4213,9,41,926,True,True,True,False
47286,Thời sự,55,122,4983,12,26,1087,True,True,True,False
236590,Thể thao,55,150,1143,12,32,250,True,True,True,False
82238,Giải trí,74,148,2762,17,34,634,True,True,True,False
27668,Sức khỏe,70,148,4703,14,34,1003,True,True,True,False
121117,Thế giới,65,109,2305,12,23,492,True,True,True,False
164034,Giải trí,65,110,7051,15,23,1557,True,True,True,False
223075,Thể thao,62,159,2355,12,34,490,True,True,True,False
98783,Giáo dục,60,147,1280,14,31,279,True,True,True,False
100777,Giáo dục,72,258,7167,16,56,1536,True,True,True,False
258494,Đời sống,72,150,4072,16,32,904,True,True,True,False
261200,Đời sống,66,128,2546,17,28,563,True,True,True,False
189300,Kinh doanh,65,208,4291,14,42,900,True,True,True,False
173365,Giáo dục,63,177,1431,15,42,306,True,True,True,False
248463,Xe,64,158,2325,16,35,511,True,True,True,False
165582,Giải trí,64,142,1594,15,32,344,True,True,True,False
143907,Xe,46,184,2716,10,42,597,True,True,True,False
192779,Kinh doanh,49,191,2956,11,43,654,True,True,True,False
143143,Xe,60,161,5072,16,33,1108,True,True,True,False
41977,Thể thao,33,135,2619,8,31,568,True,True,True,False
132947,Thời sự,51,176,4913,11,38,1092,True,True,True,True
9567,Giải trí,49,139,2921,11,29,626,True,True,True,False
68875,Đời sống,65,170,3671,14,38,798,True,True,True,False
179797,Giáo dục,59,171,1332,12,35,276,True,True,True,False
30970,Sức khỏe,70,111,3239,17,25,697,True,True,True,False
64860,Khoa học công nghệ,45,190,1512,11,42,336,True,True,True,False
195386,Kinh doanh,40,248,6464,9,52,1378,True,True,True,False
189126,Kinh doanh,76,216,5748,16,46,1230,True,True,True,False
90936,Giải trí,46,203,2443,11,47,556,True,True,True,False
86521,Giải trí,55,191,4360,12,41,950,True,True,True,False
94819,Giáo dục,76,338,4287,17,75,944,True,True,True,False
97976,Giáo dục,81,248,2440,17,55,538,True,True,True,False
105728,Kinh doanh,68,137,2046,15,31,461,True,True,True,False
205443,Sức khỏe,48,126,3920,11,28,873,True,True,True,False
257503,Đời sống,74,143,5056,17,32,1120,True,True,True,False
163737,Giải trí,49,217,2182,11,45,449,True,True,True,False
40970,Thể thao,59,121,1667,12,26,350,True,True,True,False
185000,Khoa học công nghệ,60,218,4646,12,44,1024,True,True,True,False
182307,Khoa học công nghệ,69,104,3230,15,22,700,True,True,True,False
192620,Kinh doanh,56,165,3275,12,36,702,True,True,True,False
107671,Kinh doanh,67,141,1895,16,31,406,True,True,True,False
160228,Giải trí,65,129,1574,15,29,357,True,True,True,False
228317,Thể thao,45,115,3215,9,25,658,True,True,True,False
225441,Thể thao,50,144,1918,11,33,419,True,True,True,False
49250,Xe,85,153,7406,19,34,1610,True,True,True,False
167530,Giải trí,67,124,904,15,28,197,True,True,True,False
185632,Khoa học công nghệ,67,133,5686,14,29,1203,True,True,True,False
129210,Thể thao,56,211,1068,13,47,236,True,True,True,False
217811,Thế giới,64,163,1286,14,37,281,True,True,True,False
129568,Thể thao,81,154,1931,17,35,419,True,True,True,False
6798,Giải trí,103,206,5188,21,45,1145,True,True,True,False
147505,Xe,71,192,2586,16,44,578,True,True,True,False
45200,Thời sự,65,124,1352,16,27,298,True,True,True,False
179745,Giáo dục,62,124,1645,15,28,353,True,True,True,False
118228,Thế giới,51,117,1939,12,27,436,True,True,True,False
170309,Giải trí,51,135,1470,12,28,289,True,True,True,False
67508,Đời sống,86,189,3823,17,40,826,True,True,True,False
143518,Xe,46,118,1827,11,28,416,True,True,True,False
